Rental Id,Duration,Bike Id,End Date,EndStation Id,EndStation Name,Start Date,StartStation Id,StartStation Name,,
150414642,15/07/2025 23:57,"Fulham Broadway, Walham Green",300086,16/07/2025 00:02,"Imperial Wharf Station, Sands End",300070,35672,CLASSIC,4m 34s,274323
150414643,15/07/2025 23:58,"Swan Street, The Borough",001216,16/07/2025 00:00,"Bricklayers Arms, Borough",001070,55886,CLASSIC,2m 31s,151204
150414639,15/07/2025 23:56,"Bankside Mix, Bankside",000963,16/07/2025 00:10,"Watney Market, Stepney",200162,62359,PBSC_EBIKE,13m 43s,823417
150414640,15/07/2025 23:56,"Eaton Square, Belgravia",001069,16/07/2025 00:14,"Dickens Square, Borough",001208,50259,CLASSIC,17m 48s,1068690
150414638,15/07/2025 23:55,"Bow Road Station, Bow",200251,15/07/2025 23:58,"Bow Church Station, Bow",200252,31135,CLASSIC,3m 5s,185513
150414636,15/07/2025 23:54,"Stepney Green Station, Stepney",200012,15/07/2025 23:56,"Cleveland Way, Stepney",200250,58740,CLASSIC,2m 12s,132711
150414637,15/07/2025 23:54,"Finsbury Square , Moorgate",001056,15/07/2025 23:58,"Bethnal Green Road, Shoreditch",000973,59011,CLASSIC,3m 51s,231182
150414630,15/07/2025 23:53,"Hertford Road, De Beauvoir Town",300092,15/07/2025 23:57,"New North Road 2, Hoxton",002641,20073,CLASSIC,3m 58s,238700
150414631,15/07/2025 23:53,"Hop Exchange, The Borough",000960,16/07/2025 00:15,"Battersea Park Road, Nine Elms",200183,22369,CLASSIC,22m 1s,1321724
150414632,15/07/2025 23:53,"Upper Bank Street, Canary Wharf",200099,15/07/2025 23:58,"Westferry Circus, Canary Wharf",300228,22846,CLASSIC,4m 47s,287873
150414633,15/07/2025 23:53,"Prince Albert Road, The Regent's Park",002636,16/07/2025 00:02,"Euston Road, Euston",000983,22051,CLASSIC,9m 0s,540299
150414634,15/07/2025 23:53,"Exhibition Road, Knightsbridge",022179,16/07/2025 00:09,"Rampayne Street, Pimlico",001106,54601,CLASSIC,16m 5s,965021
150414635,15/07/2025 23:53,"Central House, Aldgate",003430,16/07/2025 00:12,"Langdon Park, Poplar",200160,59090,CLASSIC,18m 26s,1106206
,,,,,,,,,,
,,,,,,,,,,
Number,Start date,Start station number,End date,End station,End station number,Start station,Bike number,Bike model,Total duration,Total duration (ms)
150869175,31/07/2025 23:59,001117,01/08/2025 00:04,"Kennington Road Post Office, Oval",001073,"Lambeth North Station, Waterloo",56199,CLASSIC,5m 32s,332563
150869176,31/07/2025 23:59,001047,01/08/2025 00:11,"Hoxton Street, Hoxton",200071,"Falkirk Street, Hoxton",55364,CLASSIC,12m 26s,746712
150869177,31/07/2025 23:59,003449,01/08/2025 00:08,"Hardwick Street, Clerkenwell",001057,"Breams Buildings, Holborn",53100,CLASSIC,8m 33s,513818
150869168,31/07/2025 23:58,001090,01/08/2025 00:15,"Killick Street, King's Cross",200053,"Warren Street Station, Euston",23299,CLASSIC,17m 17s,1037639
150869169,31/07/2025 23:58,000981,01/08/2025 00:16,"Haggerston Road, Haggerston",300081,"British Museum, Bloomsbury",53661,CLASSIC,18m 19s,1099245
150869170,31/07/2025 23:58,001077,01/08/2025 00:01,"Cephas Street, Bethnal Green",200073,"Royal London Hospital, Whitechapel",21159,CLASSIC,3m 2s,182452
150869171,31/07/2025 23:58,022183,01/08/2025 00:18,"Sutton Street, Shadwell",200256,"Crinan Street, King's Cross",52653,CLASSIC,20m 10s,1210171
150869172,31/07/2025 23:58,003449,01/08/2025 00:08,"Hardwick Street, Clerkenwell",001057,"Breams Buildings, Holborn",54781,CLASSIC,9m 38s,578789
150869173,31/07/2025 23:59,003449,01/08/2025 00:08,"Hardwick Street, Clerkenwell",001057,"Breams Buildings, Holborn",42164,CLASSIC,9m 18s,558447
150869174,31/07/2025 23:59,200098,01/08/2025 00:06,"Sandilands Road, Walham Green",300001,"Aintree Street, Fulham",58491,CLASSIC,7m 40s,460527
150869159,31/07/2025 23:57,001190,01/08/2025 00:51,"Tooley Street, Bermondsey",001142,"Kennington Lane Rail Bridge, Vauxhall",55120,CLASSIC,54m 19s,3259220
150869160,31/07/2025 23:57,001090,01/08/2025 00:15,"Shoreditch High Street, Shoreditch",003445,"Warren Street Station, Euston",41314,CLASSIC,18m 42s,1122863
150869161,31/07/2025 23:57,200178,01/08/2025 00:19,"Devonshire Terrace, Bayswater",001227,"Buckingham Gate, Westminster",35333,CLASSIC,22m 44s,1364949
150869162,31/07/2025 23:57,001190,01/08/2025 00:50,"Tooley Street, Bermondsey",001142,"Kennington Lane Rail Bridge, Vauxhall",53158,CLASSIC,53m 35s,3215599
150869163,31/07/2025 23:57,200066,01/08/2025 00:11,"Napier Avenue, Millwall",200046,"Import Dock, Canary Wharf",42229,CLASSIC,14m 5s,845654
150869164,31/07/2025 23:57,001226,01/08/2025 01:47,"Goswell Road (City Uni), Finsbury",001222,"Macclesfield Rd, St Lukes",54992,CLASSIC,1h 50m 32s,6632657
150869165,31/07/2025 23:57,200147,01/08/2025 00:19,"Braham Street, Aldgate",001062,"Salmon Lane, Limehouse",63388,PBSC_EBIKE,22m 11s,1331893
150869166,31/07/2025 23:57,000996,01/08/2025 00:31,"Islington Green, Angel",300031,"Borough High Street, The Borough",58119,CLASSIC,34m 10s,2050126
150869167,31/07/2025 23:57,001049,01/08/2025 00:23,"South Lambeth Road, Vauxhall",200133,"Finsbury Leisure Centre, St. Luke's",63262,PBSC_EBIKE,25m 51s,1551584
150869150,31/07/2025 23:56,200219,01/08/2025 00:12,"Fawcett Close, Battersea",200192,"Osiers Road, Wandsworth",51199,CLASSIC,15m 56s,956273
,,,,,,,,,,
,,,,,,,,,,
Rental Id,Duration_Seconds,Bike Id,End Date,End Station Id,End Station Name,Start Date,Start Station Id,Start Station Name,,
69016592,6480,1139,01/09/2017 17:06,501,"Cephas Street, Bethnal Green",01/09/2017 15:18,485,"Old Ford Road, Bethnal Green",,
69032665,4440,7287,01/09/2017 22:31,485,"Old Ford Road, Bethnal Green",01/09/2017 21:17,115,"Braham Street, Aldgate",,
69039417,5220,11438,02/09/2017 11:41,277,"Kensington Church Street, Kensington",02/09/2017 10:14,398,"Holland Park, Kensington",,
69043191,1680,4259,02/09/2017 12:23,404,"Palace Gate, Kensington Gardens",02/09/2017 11:55,404,"Palace Gate, Kensington Gardens",,
69136509,360,8506,05/09/2017 11:00,397,"Devonshire Terrace, Bayswater",05/09/2017 10:54,584,"Ilchester Gardens, Bayswater",,
69143805,2160,2795,05/09/2017 16:48,762,"Storey's Gate, Westminster",05/09/2017 16:12,452,"St. Katharine's Way, Tower",,
69075318,1380,2399,03/09/2017 10:17,410,"Edgware Road Station, Marylebone",03/09/2017 09:54,397,"Devonshire Terrace, Bayswater",,
69146617,1320,11238,05/09/2017 17:49,228,"St. James's Square, St. James's",05/09/2017 17:27,762,"Storey's Gate, Westminster",,
69069371,1740,6374,02/09/2017 21:38,153,"Bayswater Road, Hyde Park",02/09/2017 21:09,160,"Waterloo Place, St. James's",,
69069466,1200,13307,02/09/2017 21:36,72,"Farringdon Lane, Clerkenwell",02/09/2017 21:16,134,"Wapping High Street, Wapping",,
69070835,3060,4755,02/09/2017 23:42,83,"Panton Street, West End",02/09/2017 22:51,546,"New Fetter Lane, Holborn",,
69070844,3060,9887,02/09/2017 23:42,83,"Panton Street, West End",02/09/2017 22:51,546,"New Fetter Lane, Holborn",,
69070840,3120,9409,02/09/2017 23:43,83,"Panton Street, West End",02/09/2017 22:51,546,"New Fetter Lane, Holborn",,
69071280,1440,1822,02/09/2017 23:44,244,"Earnshaw Street , Covent Garden",02/09/2017 23:20,210,"Hinde Street, Marylebone",,
69071281,1440,2065,02/09/2017 23:44,244,"Earnshaw Street , Covent Garden",02/09/2017 23:20,210,"Hinde Street, Marylebone",,
69077060,1680,14664,03/09/2017 11:31,168,"Argyll Road, Kensington",03/09/2017 11:03,404,"Palace Gate, Kensington Gardens",,
69084947,1080,2028,03/09/2017 14:52,244,"Earnshaw Street , Covent Garden",03/09/2017 14:34,90,"Harrington Square 1, Camden Town",,
69084954,1080,12639,03/09/2017 14:52,244,"Earnshaw Street , Covent Garden",03/09/2017 14:34,90,"Harrington Square 1, Camden Town",,
69084937,1080,9830,03/09/2017 14:52,244,"Earnshaw Street , Covent Garden",03/09/2017 14:34,90,"Harrington Square 1, Camden Town",,
69085525,1440,15110,03/09/2017 15:13,762,"Storey's Gate, Westminster",03/09/2017 14:49,116,"Little Argyll Street, West End",,
